Dragon Wing (The Death Gate Cycle& Book 1)	Margaret Weis & Tracy Hickman 	Spectra 	978-0553286397 	553286390	6.26 	paperback	0.10 
Into the Labyrinth (The Death Gate Cycle Book 6)	Margaret Weis & Tracy Hickman 	Spectra 	978-0553567717	553567713	7.99 	paperback	0.10 
The Hand of Chaos (Death Gate Cycle& Book 5) 	Margaret Weis & Tracy Hickman 	Spectra 	978-0553563696	553563696	7.99 	paperback	0.10 
Serpent Mage (The Death Gate Cycle& Vol 4) 	Margaret Weis & Tracy Hickman 	Spectra 	978-0553561401	553561405	6.04 	paperback	0.10 
Fire Sea (The Death Gate Cycle& Vol. 3)	Margaret Weis & Tracy Hickman 	Spectra 	978-0553295412	553295411	7.99 	paperback	0.10 
Elven Star (The Death Gate Cycle& Volume 2)	Margaret Weis & Tracy Hickman 	Spectra 	978-0553290981	553290983	7.99 	paperback	0.10 
The Seventh Gate (The Death Gate Cycle Book 7)	Margaret Weis & Tracy Hickman 	Spectra 	978-0553096477	553096478	14.99 	hardback	0.10 
Forging the Darksword (The Darksword Trilogy& V 1)	Margaret Weis & Tracy Hickman 	Bantam Books 	978-0553268942	553268945	16.95 	paperback	0.10 
Doom of the Darksword (The Dardsword Trilogy& V 2) 	Margaret Weis & Tracy Hickman 	Bantam Books 	978-9994524136	9994524135	16.95 	paperback	0.10 
Triumph of the Darksword (The Darksword Trilogy& V3) 	Margaret Weis & Tracy Hickman 	Bantam Books 	978-0553274066	553274066	16.95 	paperback	0.10 
To Green Angel Tower& Part 1 (Memory& Sorrow& and Thorn& Book 3) 	Tad Williams	DAW	78-0886775988	886775981	8.09 	paperback	0.10 
The Wishsong of Shannara	Terry Brooks	Del Rey 	n/a	B007JCCAIW	10.95 	paperback	0.10 
King's Sacrifice (Star of the Guardians Book 3)	Margaret Weis	Spectra 	978-0553763447	055376344X	23.00 	paperback	0.10 
King's Test (Star of the Guardians Book 2)	Margaret Weis	Spectra 	978-0553763430	553763431	23.00 	paperback	0.10 
The Lost King (Star of the Guardians Book 1)	Margaret Weis	Spectra 	978-0553763423	553763423	23.00 	paperback	0.10 
Kushiel's Dart	Jacqueline Carey	St Martin's Press	n/a	B00GSCRM3M	2.49 	paperback	0.10 
Mounting Fears 	Stuart Woods	G.P. Putnam's Sons	978-0451227751	451227751	9.99 	paperback	0.10 
The Hobbit and The Lord of the Rings: Deluxe Pocket Boxed Set	J.R.R. Tolkien 	Houghton Mifflin Harcourt	978-0544445789	544445783	27.94 	paperback	0.10 
The Crystal Cave (The Arthurian Saga& Book 1)	Mary Stewart	Eos (Trade)	978-0060548254	60548258	10.58 	paperback	0.10 
Warrior's Song (Medieval)	Catherine Coulter	Penguin Group 	 978-0451198945	451198948	7.19 	paperback	0.10 
